market,rank,account,name,account_value,pnl_month,roi_month,volume_month,pnl_per_volume,pnl_all_time,roi_all_time,position_count,position_notional,position_upnl,margin_used,top_position_coin,top_position_value,top_position_share,top_position_leverage,fill_count_recent,fill_count_capped_at_2000,fill_coin_count,dominant_fill_coin,dominant_fill_share,fill_notional_recent,fees_recent,fee_bps_recent,fill_start,fill_end,fill_dirs,classification,excluded,classification_reasons,data_source,not_trade_recommended
hyperliquid,33,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,lmlmlm,8968885.205322,3370430.091378,0.29045758,30755912.86,0.10958641,10054217.635322,1.49122681,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_anomaly_or_incomplete_excluded,True,PnL present but no public positions or fills fetched,fresh_api:fresh_public_detail,True
hyperliquid,34,0xefd3ab65915e35105caa462442c9ecc1346728df,2 frères 2 fauves,76830.892369,3327837.097933,0.12530394,611778795.65,0.00543961,-3514774.774494,-0.10328481,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_anomaly_or_incomplete_excluded,True,PnL present but no public positions or fills fetched,fresh_api:fresh_public_detail,True
hyperliquid,35,0x9cd0a696c7cbb9d44de99268194cb08e5684e5fe,,332452.113737,3225238.940628,0.36543074,167.1,19301.25039275,12175734.623646,121757.34623646,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_anomaly_or_incomplete_excluded,True,PnL present but no public positions or fills fetched,fresh_api:fresh_public_detail,True
hyperliquid,36,0xbcd420d13362532756c968f663f96ba95e240dd2,,5229009.754105,3177368.7145,0.61355498,221338567.11,0.01435524,7032780.625558,1.12630015,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,37,0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,,16853154.727244,3146550.307677,0.49256053,777267638.26,0.00404822,18525952.297244,6.14717028,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,38,0x856c35038594767646266bc7fd68dc26480e910d,,63368087.821509,3141316.066882,0.0672331,1273546901.01,0.00246659,36063617.781509,0.49290038,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,39,0x6859da14835424957a1e6b397d8026b1d9ff7e1e,,8202783.526348,3122492.137923,0.52828428,50242449.86,0.06214848,26621696.126348,3.57787326,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,40,0xd4c1f7e8d876c4749228d515473d36f919583d1d,,4649179.582597,3115922.134677,0.39615801,679215392.8,0.00458753,31959096.582597,2.29359097,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,41,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,,29175069.977108,3037749.681037,0.11306306,87211066.53,0.03483216,42128453.283423,0.39794742,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,42,0xd62d484bda5391d75b414e68f9ddcedb207b7d91,,9368095.083486,3029508.330906,0.47794697,0.0,0.0,5058219.583486,1.17363473,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,43,0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,,16564242.902842,3021569.401271,0.98682061,572423851.71,0.00527855,27437486.292842,2.77738216,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,44,0xf54ac7966dad594dc4952b3eccc8f77cd77fde92,,0.000103,2971005.305918,0.67629583,19405131.42,0.15310411,81646.570103,0.01121147,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,45,0x48d826da83e69844f2f84b2db50703a933d137a2,,7399750.924116,2870436.911901,0.75919865,54958977.67,0.05222872,5319233.664116,0.90398112,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,46,0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,,6269982.114142,2835501.425082,0.45480883,27363325.12,0.10362415,25856792.494142,1.41442481,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,47,0x4c78a97cef589b01bb91dbf893fffa14243d2444,,11184788.979626,2807062.89863,0.19660434,68997244.69,0.0406837,-3154208.190374,-0.15584805,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,48,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,,13290199.089791,2764874.437262,1.01341341,77573278.42,0.0356421,22853426.399791,4.70201535,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,49,0xe867fbdad3291530e41530301ecb77693850c78e,,69436873.847066,2763668.500312,0.89169843,150155768.97,0.01840534,45850661.087066,1.94396029,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,50,0xa98143608a6846453c88f29506d64a8b85532e65,,15756244.15455,2762257.072547,1.05419724,11052833.43,0.24991393,-2473669.76545,-0.10139786,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
hyperliquid,51,0xdcac85ecae7148886029c20e661d848a4de99ce2,,19851041.902432,2741718.62197,0.35271511,1744167202.23,0.00157194,25026612.872432,0.77034002,0,0,0,0.0,,0.0,0.0,0.0,0,False,0,,0.0,0.0,0.0,0.0,,,{},F_detail_pending_excluded,True,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
