account,account_value,classification,classification_reasons,closed_count,closed_realized_sum,current_position_cost,current_position_count,current_position_value,data_source,dominant_fill_coin,dominant_fill_share,excluded,fee_bps_recent,fees_recent,fill_coin_count,fill_count_capped_at_2000,fill_count_recent,fill_dirs,fill_end,fill_notional_recent,fill_start,join_date,largest_win,largest_win_to_pnl,margin_used,market,name,negative_risk_count_sample,not_trade_recommended,pnl_all_time,pnl_month,pnl_per_volume,position_count,position_notional,position_upnl,rank,roi_all_time,roi_month,top_closed_outcome,top_closed_realized,top_closed_share_of_positive_closed,top_closed_title,top_position_coin,top_position_leverage,top_position_share,top_position_value,trade_count,unique_event_count_sample,volume_month
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,16853154.727244,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,18525952.297244,3146550.307677,0.00404822,0,0,0,37,6.14717028,0.49256053,,,,,,0.0,0.0,0.0,,,777267638.26
0x856c35038594767646266bc7fd68dc26480e910d,63368087.821509,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,36063617.781509,3141316.066882,0.00246659,0,0,0,38,0.49290038,0.0672331,,,,,,0.0,0.0,0.0,,,1273546901.01
0x6859da14835424957a1e6b397d8026b1d9ff7e1e,8202783.526348,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,26621696.126348,3122492.137923,0.06214848,0,0,0,39,3.57787326,0.52828428,,,,,,0.0,0.0,0.0,,,50242449.86
0xd4c1f7e8d876c4749228d515473d36f919583d1d,4649179.582597,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,31959096.582597,3115922.134677,0.00458753,0,0,0,40,2.29359097,0.39615801,,,,,,0.0,0.0,0.0,,,679215392.8
0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,29175069.977108,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,42128453.283423,3037749.681037,0.03483216,0,0,0,41,0.39794742,0.11306306,,,,,,0.0,0.0,0.0,,,87211066.53
0xd62d484bda5391d75b414e68f9ddcedb207b7d91,9368095.083486,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,5058219.583486,3029508.330906,0.0,0,0,0,42,1.17363473,0.47794697,,,,,,0.0,0.0,0.0,,,0.0
0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,16564242.902842,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,27437486.292842,3021569.401271,0.00527855,0,0,0,43,2.77738216,0.98682061,,,,,,0.0,0.0,0.0,,,572423851.71
0xf54ac7966dad594dc4952b3eccc8f77cd77fde92,0.000103,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,81646.570103,2971005.305918,0.15310411,0,0,0,44,0.01121147,0.67629583,,,,,,0.0,0.0,0.0,,,19405131.42
0x48d826da83e69844f2f84b2db50703a933d137a2,7399750.924116,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,5319233.664116,2870436.911901,0.05222872,0,0,0,45,0.90398112,0.75919865,,,,,,0.0,0.0,0.0,,,54958977.67
0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,6269982.114142,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,25856792.494142,2835501.425082,0.10362415,0,0,0,46,1.41442481,0.45480883,,,,,,0.0,0.0,0.0,,,27363325.12
0x4c78a97cef589b01bb91dbf893fffa14243d2444,11184788.979626,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,-3154208.190374,2807062.89863,0.0406837,0,0,0,47,-0.15584805,0.19660434,,,,,,0.0,0.0,0.0,,,68997244.69
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,13290199.089791,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,22853426.399791,2764874.437262,0.0356421,0,0,0,48,4.70201535,1.01341341,,,,,,0.0,0.0,0.0,,,77573278.42
0xe867fbdad3291530e41530301ecb77693850c78e,69436873.847066,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,45850661.087066,2763668.500312,0.01840534,0,0,0,49,1.94396029,0.89169843,,,,,,0.0,0.0,0.0,,,150155768.97
0xa98143608a6846453c88f29506d64a8b85532e65,15756244.15455,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,-2473669.76545,2762257.072547,0.24991393,0,0,0,50,-0.10139786,1.05419724,,,,,,0.0,0.0,0.0,,,11052833.43
0xdcac85ecae7148886029c20e661d848a4de99ce2,19851041.902432,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,25026612.872432,2741718.62197,0.00157194,0,0,0,51,0.77034002,0.35271511,,,,,,0.0,0.0,0.0,,,1744167202.23
0x9dcf1c87b82a35519a430457c1157f21e68f302d,17874999.332342,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,2702875.702342,2702875.702342,0.01342178,0,0,0,52,0.17814749,0.17814749,,,,,,0.0,0.0,0.0,,,201379824.64
0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,18341571.690131,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,-10216924.656574,2603562.60197,0.00022949,0,0,0,53,-0.18769198,0.0659427,,,,,,0.0,0.0,0.0,,,11345200240.550001
0x8cc94dc843e1ea7a19805e0cca43001123512b6a,5826220.555325,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,23076447.905325,2527406.798036,0.08213935,0,0,0,54,1.05487829,0.45883527,,,,,,0.0,0.0,0.0,,,30769743.37
0xad227f63d34e7251c1d0ab65e64eeea07aee4e44,4575350.773054,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,3617898.103054,2462216.072865,0.00810682,0,0,0,55,2.11388325,1.47131494,,,,,,0.0,0.0,0.0,,,303721738.58
0x6df99d59cdada18ade521e05edd5e6a2ec91b734,7194910.555875,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,9549914.225875,2442580.128517,0.13547184,0,0,0,56,0.46870346,0.24504492,,,,,,0.0,0.0,0.0,,,18030168.78
0x007c20e5c339015c924735cf76cb092bc5d9bacc,5941586.334886,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,2021436.264886,2356579.980079,0.01228107,0,0,0,57,0.2180586,0.42263045,,,,,,0.0,0.0,0.0,,,191887173.96
0xd8c5228c515db3043dfa0c8cd6f22450ee9a99b0,18257405.182773,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,5714529.392773,2318027.765257,0.01564898,0,0,0,58,0.40037687,0.15744507,,,,,,0.0,0.0,0.0,,,148126411.76
0x3b883b85fd41b81ef23b6041248bc6ac0b1c04a7,2565076.911358,F_detail_pending_excluded,top100 leaderboard row read; public position/fill detail deferred to deep-dive sessions,,,,,,fresh_api:leaderboard_only_detail_pending,,0.0,True,0.0,0.0,0,False,0,{},,0.0,,,,,0.0,hyperliquid,,,True,1116522.404696,2281686.268322,0.01223206,0,0,0,59,0.40520886,2.03944427,,,,,,0.0,0.0,0.0,,,186533345.58
